,Euclidean Distance,Cosine Similarity,PSNR,SSIM
PullUps,34.012854411264314,0.9754659917602203,29.35499763822681,0.8910953581333161
FrisbeeCatch,37.40625966749035,0.9745951329308962,29.450043987894663,0.88158052166303
GolfSwing,26.683372233300467,0.9866387738308703,31.33109595542793,0.8972742517789205
HorseRace,39.96856824762547,0.9680386419407171,28.9283088411445,0.885183588663737
SumoWrestling,41.41214352378987,0.9670672000693514,28.88667209708389,0.8762756864229838
PushUps,38.26259482496495,0.9721139462787453,29.765756699998782,0.8943261981010437
LongJump,42.720887178571196,0.965520177106067,28.814376692524693,0.8852899928887685
HeadMassage,42.841888556400804,0.9653195763642815,28.97711595212202,0.8629862229029338
Hammering,29.88020512896883,0.980766174188356,30.71818962670667,0.9124799013137818
ApplyLipstick,30.230508314260593,0.9819731941732378,31.00291099515958,0.9071712414423625
CricketShot,36.22428280532355,0.9745912835203931,30.245817238035404,0.9066643853982289
Biking,46.585504669082084,0.9611174286579752,29.24912597716949,0.8325422803560892
YoYo,36.70636714610409,0.9732117088468148,29.682443344102545,0.8729957481225331
PizzaTossing,36.86058606632435,0.9717112698931912,29.29775059349416,0.8890675564606985
BoxingPunchingBag,44.68401016070499,0.9613076268462756,29.655290376726,0.8793822467327118
BlowingCandles,37.63525857662683,0.9711253295022427,29.456669164129703,0.9044478992621104
PlayingViolin,36.760048789611204,0.9711426666355396,29.524553952771985,0.898924462000529
StillRings,35.39270887501617,0.971374182438389,29.276144193737846,0.9056173543135325
BenchPress,36.9428385310197,0.9710602922172655,29.86794238274801,0.9056104799111684
CleanAndJerk,32.627247101628114,0.981070858555325,30.88000918373649,0.9054799060026805
BandMarching,44.24186153625417,0.9542684020825482,28.418245880419917,0.868169226249059
Drumming,34.1397161568208,0.9750500820413505,29.755393465291892,0.9217066446940104
FrontCrawl,35.34200592949733,0.9800544960310279,31.131690392393445,0.9174200852711996
Nunchucks,36.274505446820086,0.9750909733117754,30.180052856414285,0.8515721440315247
IceDancing,46.155161980447886,0.9685892239613363,30.505249359106234,0.872220919529597
JavelinThrow,40.1699431908771,0.9692004462786079,29.15519794645109,0.8976534187793732
Skijet,42.82789565812736,0.9703565428761257,29.776621261540047,0.8345715790987015
TableTennisShot,30.796973359994656,0.9812180537499349,30.97773592838309,0.9115580976009369
MilitaryParade,41.60539303524854,0.9611861162206901,29.255030508300266,0.8928084035714468
Mixing,37.390352415211446,0.9736853775239463,29.415526452192687,0.8894806683063508
HighJump,48.07176127340419,0.9563879954546721,29.119349792148373,0.8707326451937357
PlayingGuitar,26.908263097640535,0.986139669381885,30.543411278324488,0.9116040537754695
Punch,45.177783648525875,0.9582485886319099,28.257888177762187,0.8710118313630422
BabyCrawling,35.087563601493244,0.9776016638435114,30.013350387343376,0.8962082862854004
HandstandPushups,34.055904136862516,0.9779716580087734,30.832063914769737,0.8996028264363607
PlayingSitar,28.684073942828196,0.9821939760996447,30.521203276650898,0.9087770859400431
BodyWeightSquats,34.84724851110661,0.9765268909007594,29.884843626870754,0.8867561837037404
Archery,38.395405433741175,0.9691801838495574,29.65096459540616,0.8915536383787791
Billiards,22.171292561759508,0.9891238653866029,33.061830238362205,0.9360885798931122
Lunges,40.85841535916541,0.9696953632459412,29.787238287704408,0.8845741212368011
SkateBoarding,46.55074580751878,0.9630052219694641,29.431708265373747,0.8392796536286672
