,Euclidean Distance,Cosine Similarity,PSNR,SSIM
CuttingInKitchen,22.293268917185127,0.992910496864929,34.60576372340805,0.9349926269572714
ThrowDiscus,20.47505499764476,0.9912570196553271,33.63233445802865,0.9266725027042887
PlayingTabla,24.851846299514936,0.9892438287748826,32.619234429509305,0.8748773958372034
Haircut,22.050110153112115,0.9902690414810683,33.0703557906989,0.9293400386105413
PlayingCello,21.633486746592922,0.9891898179608709,32.72465020185388,0.913508257140284
CricketShot,31.180492871071063,0.9815791454444727,31.37026505527663,0.9108151016028031
PlayingViolin,25.559599516885275,0.9860561882782841,31.03417936852222,0.899685888186745
WalkingWithDog,19.34661410299948,0.9925687310832395,38.81724836547718,0.9610505674196326
RockClimbingIndoor,14.466805230847703,0.9923619643846634,40.81293042115938,0.9578737227813058
FrisbeeCatch,24.855844060955427,0.9885895852879643,32.34626763143565,0.9089871489483378
PlayingDhol,9.356182652541023,0.997966330854949,35.42022671580123,0.9709784621777742
Rowing,18.935150180926126,0.9928982696945969,34.645132149226185,0.9414577872856803
BenchPress,22.181695544362004,0.9891293293559308,32.00226987983296,0.9119358295979707
LongJump,36.488889271333946,0.9743133597873618,29.234718850628045,0.9058683048123899
BalanceBeam,28.41514677364401,0.9833678685876049,31.00482693723918,0.9216643183127694
Basketball,16.370964526882823,0.9923822420839052,36.57664625857896,0.9425135125284609
Drumming,20.045449415760185,0.9884544607751827,31.73852997651332,0.9166253597840018
BoxingSpeedBag,37.60790720046201,0.97678665501084,30.15587126680134,0.8841927077459253
Mixing,23.047939294733464,0.9911352275689854,32.66527293844941,0.9025660105373549
Knitting,23.909546211121466,0.9896842677897959,31.670960387489785,0.8974419210268103
FloorGymnastics,33.92354290147715,0.974578458027406,30.030034066912027,0.891685760539511
TableTennisShot,21.177246972768717,0.9914724478705794,33.406655916124556,0.925529280434484
CliffDiving,35.74890245913959,0.9734064458156573,29.064118971219376,0.9223256888596908
YoYo,34.178810286760715,0.976060190846923,30.565644862649368,0.889215658540311
PlayingPiano,14.478775689901632,0.9940535599180272,33.83292679971424,0.9546193221341008
Diving,15.70153469307179,0.9936350250943162,36.577869163077736,0.9453944330630095
Skijet,21.62982660193961,0.9897024842305161,33.1723364081223,0.8858155660007311
BasketballDunk,18.454977274067808,0.9926691134825293,33.72379660036239,0.9331877723984097
BabyCrawling,28.287896020355873,0.9835877616507062,30.314955482224462,0.9039271758950275
WritingOnBoard,20.90517428141993,0.9918582966325432,32.32941215184551,0.9334229878757311
BoxingPunchingBag,28.545716811540114,0.983212519559367,30.48517148428873,0.9279634097348088
SoccerPenalty,13.804001091315417,0.9963987305191627,33.986826397548725,0.9294948344645293
PlayingFlute,27.116423977671822,0.9837777468494503,29.7409953710607,0.9441913521808126
HorseRiding,33.54202440359501,0.9784027330996219,30.632757737976252,0.8030867187873177
RopeClimbing,26.64947511465799,0.9875359818630697,30.911036415669273,0.8762360785318457
WallPushups,22.83887436661005,0.9869550416742401,31.75538962437117,0.9423809129258861
FieldHockeyPenalty,6.122921794880847,0.9991382185132093,37.36383174965587,0.9886056262513866
TrampolineJumping,14.120429332283503,0.9923187093907658,40.396827663036476,0.9734049076619355
SkateBoarding,24.555595837777336,0.9868800126324375,31.943588123590445,0.9507218728894773
Lunges,20.755436857192876,0.9897919351583794,34.89453998120137,0.9061391327692114
TennisSwing,12.27449114393305,0.994073390292311,39.91195293353123,0.9690203796262327
HandstandPushups,11.965221967871155,0.9961324748752785,38.94357358210447,0.9699811054312665
GolfSwing,6.196898691130707,0.9989642084473399,44.36782553361092,0.9867273491361866
SalsaSpin,34.30309360604515,0.9783762387174053,30.911526579820066,0.8340645769368047
Typing,27.041070157795136,0.9843721099407546,32.496302016635916,0.9101999583451644
PommelHorse,20.92526089950446,0.9890441373834631,33.76823620040785,0.9380350812621738
HulaHoop,38.51814370058689,0.9686948500313732,29.456712227922914,0.8909702404685642
PoleVault,24.08555815568329,0.9881162456447734,32.92910411062353,0.8928168338278065
CleanAndJerk,19.477202541100144,0.9935135610828434,35.20550933273207,0.9508058739745099
IceDancing,31.717574872948994,0.9856424096842156,32.982645423067034,0.9259264391401539
CricketBowling,11.851494591937591,0.997456581555214,35.28550184595611,0.9499880645586096
PlayingDaf,13.262021154699667,0.9959792947329976,33.007631669645136,0.9301800235458042
HammerThrow,6.402362663608137,0.998968200800412,39.33880206942147,0.9910959549572157
StillRings,23.71916199446422,0.9869037665650798,32.19722496048177,0.9128727342771448
Rafting,36.78678659174665,0.9773375117296763,30.81536822227441,0.8452317390752875
BrushingTeeth,24.452954155376368,0.9888460563078104,32.52737213064403,0.915546134762142
JumpRope,24.483773530974617,0.9888358524152501,32.35990510329722,0.8823266625404358
JavelinThrow,35.85471612511098,0.9741442613615511,30.302507772716073,0.9262118572774141
MoppingFloor,9.926887471817968,0.9975137171926289,37.57277246848224,0.9492625697799351
ParallelBars,24.39746759123338,0.9863421011161384,31.293594634547638,0.9043279653010161
BreastStroke,29.761683598557724,0.9839847561563964,30.921464331528377,0.8998570986416029
Hammering,22.73516153010245,0.9914357968308017,32.906210028952394,0.8976587134858837
Swing,44.295371422474155,0.9567953390795428,28.86864640180458,0.8390192778214164
Billiards,9.894122115759487,0.9975832097659405,36.55161274279036,0.9308259875878043
PushUps,31.39496633201543,0.9838994246873144,31.36803751879554,0.8913448582524839
PlayingGuitar,21.021536549459068,0.9908620123341104,32.80970506916017,0.9207659804302714
TaiChi,21.004431244354524,0.9912457085942512,34.17141072511708,0.9332096706265989
ApplyLipstick,16.293621504344923,0.9942752809594012,35.59769036104736,0.9224379580953846
Archery,21.537622082175677,0.9910570951327727,31.55460020661285,0.9372323673704396
BandMarching,21.00328981642876,0.9901413856155592,32.416097522427364,0.9421004497486613
HeadMassage,27.741653491765167,0.982217864957795,30.380557506676986,0.8918651705202849
JumpingJack,21.538724019134165,0.9903977468925862,32.11819393368268,0.922894299030304
