,Euclidean Distance,Cosine Similarity,PSNR,SSIM
Drumming,114.38936420678651,0.9268903486353383,30.20291988349221,0.9618958850269733
Rafting,178.22623521089733,0.8775574270280263,24.175911707486357,0.9533136914605681
BodyWeightSquats,121.11874550888892,0.94517366950675,30.26662047345477,0.9691572856643925
CricketBowling,92.99229374610854,0.9699831387522944,34.657342675728074,0.9907003232966299
Biking,127.52550649782162,0.9340566460457573,33.78514434019221,0.9169945812419705
JumpRope,107.42594405717078,0.9488775968285099,27.63798726520698,0.9585998472960099
SumoWrestling,124.5610497027955,0.9161019184177936,27.857850253690412,0.9714252326799475
HandstandWalking,122.90170235059763,0.927955757837629,32.277130594251624,0.9523506712006485
Skijet,134.8663569648418,0.9343853388980208,33.75248246995456,0.9260582408827285
BlowingCandles,164.90201990065722,0.8973288318337168,27.075602927778775,0.9410976608810216
TrampolineJumping,122.4403200690524,0.9336482497704969,31.69718785780282,0.9517335862569187
WritingOnBoard,84.4833386324888,0.9839847446065291,37.02685196921028,0.99668496037307
ApplyEyeMakeup,121.09183436521737,0.9575339398236449,28.8188758153804,0.9782203607585119
Fencing,148.42599126761615,0.9131430487265162,25.19370589602275,0.9406571397962776
BenchPress,126.78470256262565,0.9222007718444958,28.79036502247972,0.9636156484484674
Lunges,144.8827632276185,0.9136205925902481,30.380459016002384,0.9192504118318143
FrisbeeCatch,167.6466042512708,0.8713828433181826,23.325574227436125,0.929024666223837
Basketball,75.55072673571499,0.9700161666899981,38.50176128507175,0.9826733418132949
PlayingDhol,114.72876613377937,0.9454661825435852,33.604268362160454,0.9811276391796443
Punch,149.85591804954328,0.880370279526367,27.064349125779717,0.9310112624712613
BreastStroke,151.1746779196224,0.9209686242451548,28.319776476460767,0.9651421606540679
PlayingViolin,125.78915666890407,0.9375422904473386,28.35103355433576,0.9739081496777742
ParallelBars,136.19357013508068,0.9109498045862807,28.624908298839678,0.9656287123975545
Haircut,104.56147239019103,0.9525558318995121,31.473464735380627,0.9781767975377
MoppingFloor,145.83909334394681,0.9134117933932391,28.921274289160536,0.9540589448550472
PushUps,106.4896505247337,0.9600832129884289,32.933506587943484,0.9798329187476117
Swing,162.13825133312022,0.8534984936628999,25.737794615145376,0.813803318321057
BlowDryHair,134.16679748982014,0.9385502448668195,25.731099118082078,0.9577135242845702
HeadMassage,148.5816048214356,0.9132465310290587,27.715855830516826,0.9507363632969235
PlayingGuitar,87.5769781364399,0.9693789078985741,34.90959053992149,0.9907109131631644
Kayaking,179.99263567618095,0.8951917653783521,24.742507581420405,0.9566840950561606
SalsaSpin,140.98337824383688,0.923351330894783,31.40236808960503,0.9496513566245204
CuttingInKitchen,123.81754868886037,0.9484368458993031,31.84565553126697,0.946298430795255
MilitaryParade,155.3315950126812,0.8645414852044754,24.620849570978095,0.9104003242176512
LongJump,178.15433611037986,0.8511208395475898,22.630621554339914,0.9156381996429485
HorseRace,136.23428936181935,0.9052360617021281,28.217171296883024,0.9241494199504023
Skiing,147.32970128063053,0.9328824319261919,30.224936404452716,0.9605212639207426
PlayingFlute,111.15426488029976,0.952511810516314,30.367764711322195,0.9459940768454386
YoYo,120.48858598932134,0.9441605165364997,26.915695706639205,0.9385914951562881
Surfing,163.26496003355103,0.9213973073799051,27.42296704553425,0.9830666339915731
PoleVault,191.22555891916488,0.8740627210055532,20.91997234826291,0.9037292243345925
Nunchucks,97.83398386523848,0.9698818644240085,34.14387576527231,0.9827697992972707
FrontCrawl,158.0537286454619,0.9263741184852329,28.27863601518043,0.971180055776368
Diving,107.49937874783585,0.9464708063176088,35.52474508512584,0.968590570775711
SoccerPenalty,102.03357225902393,0.9442358512282535,31.759962964509665,0.971436609716519
HorseRiding,169.52719260343528,0.8886930837876009,26.30794026804911,0.8989187624791394
Bowling,141.56355575587088,0.9032276367242521,25.68345188598639,0.9498488339393036
JumpingJack,93.22468408947819,0.9505328960808999,33.714683393981154,0.9745701774954796
ShavingBeard,77.17071787435185,0.9778183404663304,39.70580188744582,0.9941458180546761
PlayingCello,78.39348462223225,0.9733744194039191,37.3907531951886,0.992845277423444
PlayingDaf,117.15543861680432,0.96025693038424,31.111042757087972,0.9736499481874963
PlayingSitar,79.52376623754452,0.9777456704481696,39.16240558789971,0.9965142980217934
PullUps,96.50884359563847,0.9566033841909544,34.3880716759768,0.9841623400216518
JugglingBalls,93.89673895329814,0.966882626628025,32.74408646201481,0.9818678326580835
GolfSwing,56.080872243310715,0.9873379688890066,45.94023050563677,0.9970664890564006
TableTennisShot,96.21401562737816,0.958733423129553,29.891756080526005,0.9609780593410784
PizzaTossing,134.04116943158448,0.9151078483818479,29.47875526118038,0.9465407845766647
BrushingTeeth,104.72229078046455,0.96296629272329,36.02900929090944,0.9869388947668284
HulaHoop,131.91052367865777,0.9282790535473064,26.84109809197905,0.9221257188397904
WallPushups,70.68721669575763,0.981325809936502,38.274627128648035,0.9941549916630207
SoccerJuggling,79.640493173944,0.9708242386483555,37.36027784573332,0.9795581448985183
RopeClimbing,135.0676890365137,0.9390882609156275,31.238665681629172,0.9629677926068722
UnevenBars,142.43594634732426,0.8693306591831169,25.745682950232272,0.8838583313576553
