,Euclidean Distance,Cosine Similarity,PSNR,SSIM
JumpingJack,121.06354043053142,0.9177552837094763,23.554701514452972,0.9058195352554321
PlayingFlute,132.02111877473783,0.9072629085079014,26.563929154990525,0.939055860042572
PlayingGuitar,108.87586676605355,0.9551133089945709,27.884560079502975,0.9885219931602478
BenchPress,184.48172129048652,0.8581860554706273,21.468798106617065,0.8707739859819412
RockClimbingIndoor,171.04217659979707,0.846497813165595,26.287085629928384,0.9610534906387329
Diving,151.46097209557075,0.8799020073418736,28.070990315796095,0.975875124335289
PlayingPiano,104.3701501968162,0.9493506224580749,26.23943129259022,0.9530134052038193
Surfing,239.0295407133237,0.7777173927510108,17.626591421360782,0.856127068400383
Nunchucks,144.39880123591368,0.9353107872141626,25.953843214502296,0.9786776602268219
BrushingTeeth,54.0007002704487,0.9875800266629551,35.4180616827811,0.9967380911111832
ApplyLipstick,115.85227355510288,0.9477088724422886,26.68604333318634,0.9616194516420364
HammerThrow,275.167374353807,0.7113200156152085,17.18728870675442,0.708489716053009
Fencing,314.8932785713586,0.6676788179800945,14.20798746283965,0.7075183987617493
Bowling,230.52033121200122,0.7749273257820699,18.978761946686163,0.8816911727190018
VolleyballSpiking,188.9441160261767,0.872181382393665,22.213951114976155,0.8941098302602768
Basketball,122.15234073040425,0.9227021967761957,28.22529252352791,0.9704326391220093
PlayingTabla,85.94340344988275,0.9655381482255136,26.432599432638956,0.962184265255928
CricketShot,192.6128362917289,0.8183418225488012,22.742814826131166,0.9207628071308136
CricketBowling,85.79701673006608,0.976181647380553,30.697885703127582,0.9946484416723251
UnevenBars,275.30405231818935,0.6112374951808701,21.622268078464536,0.7975510805845261
Typing,106.47246416609482,0.958550765207038,24.100174105993354,0.9752959161996841
WritingOnBoard,88.4065306731077,0.9742777044980919,29.957473749129996,0.9753211587667465
BalanceBeam,289.4610466088519,0.4980258265532264,17.91275106378398,0.6094174161553383
PlayingSitar,103.08196005894015,0.943653560439485,29.640003099151855,0.9742797464132309
CuttingInKitchen,121.63553245184804,0.9431632307929616,27.62062144792386,0.9630131274461746
TaiChi,185.5590658702089,0.8890879556978535,22.356220666823734,0.9142956435680389
FrisbeeCatch,242.53607793063074,0.7394828167373407,21.345510298085483,0.8539938032627106
JugglingBalls,218.5318054458351,0.8065810466255104,17.81242378057995,0.8707522600889206
Biking,217.9719968707512,0.8623408224983613,18.113433238168675,0.8954492211341858
PommelHorse,150.1037424269927,0.8946278848700484,22.755424145617937,0.8313488364219666
TableTennisShot,95.32249714796855,0.9612941239943087,29.085414894613027,0.9716787785291672
PizzaTossing,162.67175359921333,0.8759916138124454,22.362536946911995,0.9258920550346375
YoYo,223.7616791547506,0.7776497290293537,22.160985465653667,0.8674552738666534
SumoWrestling,229.97944031278809,0.7607128079700687,19.744725342506303,0.9135629236698151
Knitting,221.05051761383393,0.8040559885443719,21.825006206833,0.7760476619005203
