,Euclidean Distance,Cosine Similarity,PSNR,SSIM
Bowling,39.46593339673578,0.8109848775778029,27.344673199150684,0.9476609094576403
BandMarching,50.85826329579102,0.6965151808251185,22.422075701672913,0.8646216148679906
Skijet,60.404730869561405,0.6182007744821882,22.273527982070554,0.7596245597709309
FrisbeeCatch,47.77026924365369,0.7443182141995053,23.699738411575503,0.9337618025866421
PlayingPiano,25.737127645644662,0.921155327122571,37.79982438749986,0.986812179738825
Skiing,46.97883099546392,0.764299258716777,23.4455388740882,0.961060499603098
BenchPress,50.75014564526474,0.7289015417763497,23.845129217916856,0.933281497521834
SumoWrestling,44.68399531236223,0.7890530589073042,23.329188258961665,0.9164331528273495
ApplyEyeMakeup,25.7726533206566,0.9236933968826986,30.867341074818025,0.985079738226804
PlayingDhol,36.90918232104029,0.8390530773517884,29.698106316586852,0.9488840726288883
FloorGymnastics,55.35728943782972,0.621231087157673,23.753264032780038,0.8657388443296606
HighJump,65.16011591539845,0.5539772845460403,18.967234414752156,0.8090955276380886
BoxingSpeedBag,41.74423801961073,0.8161932326405668,26.530995513621626,0.9533191296187314
Kayaking,52.67219624383891,0.7035985325612792,21.93890784083208,0.9065613258968701
Basketball,31.192121083979075,0.8932954797864048,31.519110634138844,0.986538526686755
JugglingBalls,42.29995600024138,0.8105492774941998,26.044097575846997,0.9669628956101157
LongJump,49.85133761812144,0.7359659257096861,22.205040103430044,0.9287495856935328
PizzaTossing,36.82391936087614,0.857859879575736,28.415665223937307,0.9538664573972875
WalkingWithDog,48.568456376399595,0.7329356155406921,26.58882204955477,0.943717208775607
SalsaSpin,56.87081468366084,0.6570265142091017,21.84844119725141,0.8535008132457733
YoYo,35.96614234109228,0.8594697179165505,26.3649581499702,0.9559555162083019
PlayingViolin,38.23161945995117,0.8389583540918815,25.488028914936855,0.9417052973400463
SkyDiving,52.07421173470918,0.7132007775569664,25.405628239574675,0.9476210529153997
PlayingFlute,40.05175660632976,0.8216098752066763,25.745817894465283,0.8387443558736281
TennisSwing,44.96339470567206,0.770246254169434,24.91989048457006,0.940545604987578
Haircut,40.961430144899495,0.8197348710514158,23.019762463659674,0.9565928144888445
BabyCrawling,52.608512434735914,0.696382642545348,21.497129692261545,0.9101798913695596
BoxingPunchingBag,47.50026228125547,0.764090923332671,20.602184297360715,0.9000970829616893
CricketBowling,24.239059518601636,0.9377084331766623,34.77060310245683,0.9927661879496141
UnevenBars,41.71487997520303,0.8156818463098201,24.5094145301848,0.8952557065270164
BlowingCandles,45.655469514478256,0.7580871640190077,26.002302260209195,0.9128165543079376
RopeClimbing,48.37945510072035,0.7495644172536213,25.214963736058504,0.8526180494915355
PlayingSitar,21.243432767323476,0.9513447266348598,34.26919368741398,0.9908956478942523
BasketballDunk,59.626750573682585,0.6266098715667345,20.470216968882788,0.8458795113997026
Nunchucks,33.075152928515394,0.8845265323818479,29.14253139556186,0.973281361839988
Fencing,42.9398164948935,0.8013068429346397,21.289975827513455,0.9398888620463285
Drumming,40.16146097141052,0.8302272929077792,24.6650156182222,0.9243616786870089
Hammering,43.59887752037032,0.7843939686410788,23.144138157533078,0.9280824850906025
Swing,60.65923362541996,0.6013068316661023,18.79434051749043,0.6930408491329714
HandstandWalking,55.266947747586556,0.6700568368251543,21.185812659210224,0.8767563673582944
JavelinThrow,64.93761003793819,0.5544697079331786,20.223481167667103,0.7728313952684402
ThrowDiscus,40.14604943133945,0.8183144287975519,27.03716524347474,0.9601894319057465
Punch,60.428769601450874,0.6174431981677753,18.317196391072766,0.7671105428175493
HorseRiding,58.72473940089007,0.6389394837374613,23.053590833488528,0.8929761079224673
IceDancing,59.317684265690964,0.6304734967325321,19.73530132050114,0.9355195869099011
Billiards,26.150134764196572,0.925928051311725,35.124341684247284,0.9894964017651298
MilitaryParade,55.71903532432897,0.6727462362648564,25.992953417188787,0.8401006839492104
SkateBoarding,54.78472098667307,0.6842235157185774,21.199900663033972,0.8932577452876351
SoccerPenalty,28.680955351192818,0.9119318410870282,33.217779922418316,0.9832262423905459
CuttingInKitchen,36.693736722883756,0.852537905713509,27.792322688300068,0.9236775528300892
RockClimbingIndoor,60.783751873535266,0.5881818450549618,23.270688501267745,0.7508096532388167
PlayingDaf,35.92673921541053,0.8584469921674307,28.56662507406548,0.9318600242788142
CleanAndJerk,31.899035857386508,0.8864962366283401,30.767456907932058,0.9787791019136255
TableTennisShot,27.051337503832805,0.909583371629344,31.839994933553104,0.9679168056357991
HammerThrow,28.901789305958843,0.8978977633923344,35.10605500337014,0.9893681677904996
HandstandPushups,26.601472336566736,0.9153219856266093,35.165379312913686,0.9849558879028667
HeadMassage,41.82719497610188,0.8078219919475447,24.825929534206658,0.9440540292046287
WallPushups,20.852144792326953,0.9464583485247265,37.38409506814269,0.9877702729268507
JumpingJack,45.48680100378748,0.7827272950557755,26.637636764245833,0.9150351502678611
StillRings,33.21915835503369,0.8696212585156965,31.243371962571857,0.9278453678231348
BalanceBeam,47.16016716196526,0.7260038096078181,27.532603874547174,0.8458799692717465
Shotput,36.51198758048437,0.8285416964861223,32.962020237160424,0.9397552148862318
GolfSwing,40.38810076713258,0.8243939629515007,29.561273028854536,0.9756754230369221
BrushingTeeth,24.05124515675232,0.9318939691205674,36.36286177044818,0.9939103451642124
TaiChi,31.578191921653897,0.8936932122125085,34.78013501873028,0.9919635220007463
BaseballPitch,33.17674174948976,0.8771780939965576,27.590710961781056,0.9380751333453439
VolleyballSpiking,45.27291751327891,0.7823485207754348,23.98223141698135,0.9622965265404094
PommelHorse,38.30244071976182,0.8553544545613293,25.810668755807843,0.9230654293840581
JumpRope,46.492411893028745,0.7710795845727925,23.259965348723263,0.9252520935101942
Diving,58.8202445234209,0.6206060781627147,22.987830798368954,0.8390577029098164
Knitting,45.847720358797034,0.7782386703938492,22.30042318544374,0.9114473787221041
BreastStroke,45.74702187791142,0.7702083637675641,24.52532020498132,0.9604565772143276
Biking,56.904124134011724,0.6354362289151475,22.231093579522657,0.8179657025770708
PlayingTabla,39.502373752722804,0.836003836367273,29.296874262512244,0.9845761304551905
BlowDryHair,52.36065746178758,0.7078219887292266,22.276110154668253,0.9128472452813929
FrontCrawl,59.29514403885379,0.6253788236665263,23.903916672276267,0.9161800498312169
Rafting,58.078234589944344,0.6469886496960019,21.57318958633892,0.9175758199258284
Typing,28.42870616522749,0.9143750374343094,26.518126967302308,0.9718733484094793
ApplyLipstick,30.43363927412529,0.8967235417335044,34.897706359985705,0.9883741628039967
ShavingBeard,42.733719913586924,0.8050000251119367,28.651098023740545,0.9560723467306658
TrampolineJumping,43.230111923304335,0.7946022914563768,23.674130871838933,0.8411306034434926
