,Euclidean Distance,Cosine Similarity,PSNR,SSIM
RockClimbingIndoor,91.07126603526017,0.9528355844454296,32.772211317557634,0.9585519951322804
PlayingDaf,90.30622684343646,0.9635990073663212,31.49359461808376,0.9737758801683136
CricketBowling,65.60372019500166,0.9805531106936501,34.36865417307868,0.9891315096098444
TaiChi,60.4731151429129,0.9798936291176067,36.3147149091624,0.9876151149687559
PlayingViolin,95.75629619697676,0.9544659165905865,28.604829376333843,0.9734548712554184
Haircut,80.18856641831819,0.966077716686787,30.926624428249546,0.9772328361868858
Rafting,172.37732969013194,0.8599924780210407,24.602281117173067,0.9549691988074261
JavelinThrow,190.23173068998813,0.8280808158639973,23.61869564949458,0.885198147724504
Skiing,138.80949946346854,0.9034846754258045,30.51616420737214,0.9627729583045712
BlowingCandles,131.59286564848892,0.9169460210848899,27.226170806001793,0.9423399658306785
SoccerJuggling,70.76570013664454,0.971038662672816,37.15360819609018,0.9780711819944173
CuttingInKitchen,97.00575366175192,0.9557158074184919,31.879946745966954,0.948142027401406
Mixing,99.20952953964914,0.9501856066129035,30.281463330694777,0.9748133945724239
TrampolineJumping,111.97935443346587,0.9304778566976256,31.372466154421375,0.9548642149438029
BalanceBeam,184.2837882024635,0.7871309505778558,25.568751138350255,0.9105901501100997
HandstandWalking,107.18163117361144,0.9252789347871637,32.191091654542355,0.9532425471622012
Typing,64.6801769975483,0.9791220143131651,31.1327555651716,0.9824481240433195
MilitaryParade,155.0233372686296,0.8650767214180537,24.94170330040646,0.9119469552584316
FrontCrawl,144.58574712477846,0.9047570509717788,29.240651445714946,0.9715385229691215
StillRings,120.89440877851452,0.9043666782058617,28.42402592452968,0.9043057233743047
ShavingBeard,41.40064502788891,0.9882473560086477,39.39644981591974,0.9940699798905331
BenchPress,102.01968206402856,0.9467814681202932,28.58810071769659,0.9633923014220985
GolfSwing,38.63089491278673,0.9916228491698121,44.508421606596244,0.9966775036376456
PlayingPiano,29.9344159067421,0.9933989892293877,43.91626868497311,0.993938779377419
LongJump,195.39932394882007,0.8141396514489705,23.332427453778084,0.9190161364234012
